Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","249800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1961","1961","tonnes","60500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1961","1961","tonnes","28000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1962","1962","tonnes","36400","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1962","1962","tonnes","82800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","333000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","376800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1963","1963","tonnes","116500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1963","1963","tonnes","50600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1964","1964","tonnes","69300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1964","1964","tonnes","148700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","555200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","574800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1965","1965","tonnes","132500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1965","1965","tonnes","77300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1966","1966","tonnes","114200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1966","1966","tonnes","248600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","737800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","1034600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1967","1967","tonnes","334800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1967","1967","tonnes","169600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1968","1968","tonnes","170000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1968","1968","tonnes","382100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","1208600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","1356000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1969","1969","tonnes","416000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1969","1969","tonnes","210000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1970","1970","tonnes","236300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1970","1970","tonnes","541300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","1479000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","tonnes","1798000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1971","1971","tonnes","558200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1971","1971","tonnes","300600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1972","1972","tonnes","347600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1972","1972","tonnes","581300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","tonnes","1839000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","tonnes","1829000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1973","1973","tonnes","649700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1973","1973","tonnes","359800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1974","1974","tonnes","336100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1974","1974","tonnes","471500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","tonnes","1765700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","tonnes","2748600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
